ensembl_gene_id	uniprot_swissprot
ENSG00000171552	B2CL1_HUMAN
ENSG00000262264	
ENSG00000262264	B3GN6_HUMAN
ENSG00000171552	
ENSG00000233561	DHX16_HUMAN
ENSG00000150477	
ENSG00000262595	MRM1_HUMAN
ENSG00000262595	
ENSG00000183963	SMTN_HUMAN
ENSG00000150477	K1328_HUMAN
ENSG00000205856	CV042_HUMAN
ENSG00000235956	PRRT1_HUMAN
ENSG00000235956	
ENSG00000262875	
ENSG00000011201	KALM_HUMAN
ENSG00000226898	
ENSG00000257782	
ENSG00000171451	DSEL_HUMAN
ENSG00000168135	IRK4_HUMAN
ENSG00000262875	CAN5_HUMAN
ENSG00000224319	OR2H2_HUMAN
ENSG00000254995	
ENSG00000137575	SDCB1_HUMAN
ENSG00000239741	LY66F_HUMAN
ENSG00000239741	
ENSG00000137575	
ENSG00000258635	
ENSG00000100196	ERD23_HUMAN
ENSG00000156304	SFR15_HUMAN
ENSG00000183473	SSR3_HUMAN
ENSG00000072110	ACTN1_HUMAN
ENSG00000225998	LSM2_HUMAN
ENSG00000198252	STYX_HUMAN
ENSG00000215440	PEPL1_HUMAN
ENSG00000236210	
ENSG00000173404	INSM1_HUMAN
ENSG00000131174	COX7B_HUMAN
ENSG00000072110	
ENSG00000168384	DPA1_HUMAN
ENSG00000215440	
ENSG00000198901	PRC1_HUMAN
ENSG00000168384	
ENSG00000198901	
ENSG00000103723	AP3B2_HUMAN
ENSG00000226907	CT454_HUMAN
ENSG00000128340	RAC2_HUMAN
ENSG00000120694	
ENSG00000128340	
ENSG00000103723	
ENSG00000076641	PHAG1_HUMAN
ENSG00000257211	
ENSG00000166479	TMX3_HUMAN
ENSG00000183304	FAM9A_HUMAN
ENSG00000166479	
ENSG00000169018	FEM1B_HUMAN
ENSG00000169018	
ENSG00000053747	LAMA3_HUMAN
ENSG00000204175	GRIN2_HUMAN
ENSG00000053747	
ENSG00000215764	
ENSG00000099991	
ENSG00000177138	
ENSG00000204174	NPY4R_HUMAN
ENSG00000177138	FAM9B_HUMAN
ENSG00000165240	ATP7A_HUMAN
ENSG00000215764	KI3S1_HUMAN
ENSG00000164687	FABP5_HUMAN
ENSG00000164687	
ENSG00000120694	HS105_HUMAN
ENSG00000263298	ABCBB_HUMAN
ENSG00000234096	
ENSG00000263298	
ENSG00000099991	CABIN_HUMAN
ENSG00000128253	RFPL2_HUMAN
ENSG00000100201	
ENSG00000234096	MOG_HUMAN
ENSG00000260736	PRS58_HUMAN
ENSG00000226710	G8_HUMAN
ENSG00000188559	RGPA2_HUMAN
ENSG00000268457	
ENSG00000230763	DPB1_HUMAN
ENSG00000255529	GRL1A_HUMAN
ENSG00000230763	
ENSG00000255529	
ENSG00000100201	DDX17_HUMAN
ENSG00000211936	
ENSG00000226710	
ENSG00000227858	
ENSG00000211937	
ENSG00000102580	
ENSG00000260309	
ENSG00000102580	DNJC3_HUMAN
ENSG00000211938	
ENSG00000102753	IMA3_HUMAN
ENSG00000100055	
ENSG00000102753	
ENSG00000137809	
ENSG00000211939	
ENSG00000188559	
ENSG00000122870	BICC1_HUMAN
ENSG00000122870	
ENSG00000137197	CDSN_HUMAN
ENSG00000137809	ITA11_HUMAN
ENSG00000100577	MAAI_HUMAN
ENSG00000211940	
ENSG00000215764	KI2LA_HUMAN
ENSG00000100055	CYH4_HUMAN
ENSG00000205549	CI092_HUMAN
ENSG00000211941	
ENSG00000172955	
ENSG00000205549	
ENSG00000100577	
ENSG00000172955	ADH6_HUMAN
ENSG00000131668	BARX1_HUMAN
ENSG00000088325	TPX2_HUMAN
ENSG00000088325	
ENSG00000168772	
ENSG00000100522	GNA1_HUMAN
ENSG00000150165	
ENSG00000100522	
ENSG00000168772	CXXC4_HUMAN
ENSG00000185838	GNB1L_HUMAN
ENSG00000159216	RUNX1_HUMAN
ENSG00000198796	ALPK2_HUMAN
ENSG00000185838	
ENSG00000215612	
ENSG00000150165	AXA81_HUMAN
ENSG00000215612	HMX1_HUMAN
ENSG00000159216	
ENSG00000262764	2AAB_HUMAN
ENSG00000100191	SC5A4_HUMAN
ENSG00000087128	TM11E_HUMAN
ENSG00000087128	
ENSG00000100983	GSHB_HUMAN
ENSG00000262764	
ENSG00000100983	
ENSG00000166428	
ENSG00000168468	ATF6B_HUMAN
ENSG00000166428	PLD4_HUMAN
ENSG00000168468	
ENSG00000138759	FRAS1_HUMAN
ENSG00000260222	
ENSG00000138759	
ENSG00000260745	
ENSG00000164363	S6A18_HUMAN
ENSG00000128276	RFPL3_HUMAN
ENSG00000164363	
ENSG00000262858	
ENSG00000262858	BPTF_HUMAN
ENSG00000173068	BNC2_HUMAN
ENSG00000102595	UGGG2_HUMAN
ENSG00000173068	
ENSG00000205853	RFL3S_HUMAN
ENSG00000205853	
ENSG00000229215	1A80_HUMAN
ENSG00000229215	1A01_HUMAN
ENSG00000229215	1A36_HUMAN
ENSG00000229215	1A24_HUMAN
ENSG00000261941	OMP_HUMAN
ENSG00000229215	
ENSG00000102595	
ENSG00000269295	
ENSG00000263085	CQ058_HUMAN
ENSG00000147588	MYP2_HUMAN
ENSG00000147588	
ENSG00000205186	FABP9_HUMAN
ENSG00000170323	FABP4_HUMAN
ENSG00000172175	MALT1_HUMAN
ENSG00000170323	
ENSG00000262472	IMA2_HUMAN
ENSG00000135063	F1892_HUMAN
ENSG00000262472	
ENSG00000172175	
ENSG00000005238	F214B_HUMAN
ENSG00000197416	
ENSG00000197416	FBP12_HUMAN
ENSG00000172458	IL17D_HUMAN
ENSG00000005238	
ENSG00000078814	MYH7B_HUMAN
ENSG00000180938	ZN572_HUMAN
ENSG00000078814	
ENSG00000261230	
ENSG00000141959	K6PL_HUMAN
ENSG00000073712	FERM2_HUMAN
ENSG00000227761	
ENSG00000073712	
ENSG00000150456	N6MT2_HUMAN
ENSG00000141959	
ENSG00000100220	RTCB_HUMAN
ENSG00000025293	PHF20_HUMAN
ENSG00000107282	APBA1_HUMAN
ENSG00000025293	
ENSG00000235443	RPA12_HUMAN
ENSG00000182631	RL3R1_HUMAN
ENSG00000262747	AMZ2_HUMAN
ENSG00000262747	
ENSG00000168769	TET2_HUMAN
ENSG00000100220	
ENSG00000166897	PPR29_HUMAN
ENSG00000088854	CT194_HUMAN
ENSG00000168769	
ENSG00000181433	SAGE1_HUMAN
ENSG00000229924	
ENSG00000181433	
ENSG00000261230	CPSF1_HUMAN
ENSG00000198832	
ENSG00000088854	
ENSG00000215012	BOP_HUMAN
ENSG00000232399	U17LD_HUMAN
ENSG00000233314	
ENSG00000232399	
ENSG00000233314	PP1RB_HUMAN
ENSG00000215012	
ENSG00000226784	PGAM4_HUMAN
ENSG00000263074	ARSG_HUMAN
ENSG00000263074	
ENSG00000135047	CATL1_HUMAN
ENSG00000104549	
ENSG00000133731	IMPA1_HUMAN
ENSG00000206331	PRRT1_HUMAN
ENSG00000104549	ERG1_HUMAN
ENSG00000260227	
ENSG00000206331	
ENSG00000133731	
ENSG00000261506	
ENSG00000164175	S45A2_HUMAN
ENSG00000262275	MOT7_HUMAN
ENSG00000260407	
ENSG00000123178	SPRY7_HUMAN
ENSG00000164175	
ENSG00000262275	
ENSG00000101306	MYLK2_HUMAN
ENSG00000100060	MFNG_HUMAN
ENSG00000236967	RNF39_HUMAN
ENSG00000112685	EXOC2_HUMAN
ENSG00000185000	DGAT1_HUMAN
ENSG00000100060	
ENSG00000112685	
ENSG00000259829	
ENSG00000268926	
ENSG00000260885	
ENSG00000260272	
ENSG00000185000	
ENSG00000217792	
ENSG00000259825	
ENSG00000224542	
ENSG00000135047	
ENSG00000227761	BAG6_HUMAN
ENSG00000234218	
ENSG00000101596	SMHD1_HUMAN
ENSG00000261626	
ENSG00000178761	F219B_HUMAN
ENSG00000101596	
ENSG00000257887	
ENSG00000100206	DMC1_HUMAN
ENSG00000178761	
ENSG00000234218	MICB_HUMAN
ENSG00000100206	
ENSG00000258270	
ENSG00000261785	
ENSG00000224496	TRI40_HUMAN
ENSG00000257888	
ENSG00000066455	GOGA5_HUMAN
ENSG00000066455	
ENSG00000185883	VATL_HUMAN
ENSG00000185883	
ENSG00000008710	PKD1_HUMAN
ENSG00000150636	
ENSG00000260513	ZN479_HUMAN
ENSG00000181781	OD3L2_HUMAN
ENSG00000185567	AHNK2_HUMAN
ENSG00000008710	
ENSG00000257382	
ENSG00000260384	
ENSG00000197888	UDB17_HUMAN
ENSG00000260384	SERC2_HUMAN
ENSG00000261287	
ENSG00000150636	C102B_HUMAN
ENSG00000215131	CP090_HUMAN
ENSG00000215131	
ENSG00000182150	RAD26_HUMAN
ENSG00000225993	LY66D_HUMAN
ENSG00000169446	MMGT1_HUMAN
ENSG00000225993	
ENSG00000237703	TRI10_HUMAN
ENSG00000182150	
ENSG00000168124	OR1F1_HUMAN
ENSG00000237703	
ENSG00000136925	
ENSG00000044459	CNTLN_HUMAN
ENSG00000259919	GALT9_HUMAN
ENSG00000182150	ER6L2_HUMAN
ENSG00000259919	
ENSG00000156026	MCU_HUMAN
ENSG00000132953	XPO4_HUMAN
ENSG00000044459	
ENSG00000156026	
ENSG00000132953	
ENSG00000107890	
ENSG00000101489	
ENSG00000179772	FOXS1_HUMAN
ENSG00000184470	
ENSG00000184949	YV009_HUMAN
ENSG00000235259	TRI15_HUMAN
ENSG00000136925	TSTD2_HUMAN
ENSG00000235259	
ENSG00000113456	RAD1_HUMAN
ENSG00000164362	TERT_HUMAN
ENSG00000226757	
ENSG00000164362	
ENSG00000262577	
ENSG00000113456	
ENSG00000184949	
ENSG00000103647	COR2B_HUMAN
ENSG00000211942	
ENSG00000184949	F227A_HUMAN
ENSG00000142149	HUNK_HUMAN
ENSG00000261352	
ENSG00000262577	ALG9_HUMAN
ENSG00000142149	
ENSG00000165443	PHIPL_HUMAN
ENSG00000261352	ZNF90_HUMAN
ENSG00000211943	
ENSG00000184470	TRXR2_HUMAN
ENSG00000101489	CELF4_HUMAN
ENSG00000257637	
ENSG00000102144	PGK1_HUMAN
ENSG00000165152	TM246_HUMAN
ENSG00000259916	
ENSG00000149599	
ENSG00000010539	ZN200_HUMAN
ENSG00000224200	FKBPL_HUMAN
ENSG00000100991	TP4AP_HUMAN
ENSG00000260080	
ENSG00000107890	ANR26_HUMAN
ENSG00000136874	STX17_HUMAN
ENSG00000262149	MYO1F_HUMAN
ENSG00000100991	
ENSG00000261237	
ENSG00000149599	DUS15_HUMAN
ENSG00000224544	PS1C2_HUMAN
ENSG00000136874	
ENSG00000102144	
ENSG00000261031	
ENSG00000010539	
ENSG00000170312	
ENSG00000231396	U17LA_HUMAN
ENSG00000109475	RL34_HUMAN
ENSG00000233136	U17LB_HUMAN
ENSG00000138722	MMRN1_HUMAN
ENSG00000228881	TRI26_HUMAN
ENSG00000065328	MCM10_HUMAN
ENSG00000227551	UL17C_HUMAN
ENSG00000065328	
ENSG00000164022	
ENSG00000170312	CDK1_HUMAN
ENSG00000223569	U17LF_HUMAN
ENSG00000138722	
ENSG00000228881	
ENSG00000249104	U17LH_HUMAN
ENSG00000164022	AIMP1_HUMAN
ENSG00000206281	
ENSG00000206281	TPSN_HUMAN
ENSG00000250844	U17LI_HUMAN
ENSG00000100211	
ENSG00000088930	XRN2_HUMAN
ENSG00000103351	CLUA1_HUMAN
ENSG00000248920	U17LJ_HUMAN
ENSG00000088930	
ENSG00000204977	TRI13_HUMAN
ENSG00000128815	WDFY4_HUMAN
ENSG00000196620	UDB15_HUMAN
ENSG00000103351	
ENSG00000261964	
ENSG00000100211	CBY1_HUMAN
ENSG00000230685	CLIC1_HUMAN
ENSG00000250745	U17LK_HUMAN
ENSG00000185418	SYTC2_HUMAN
ENSG00000122859	NGN3_HUMAN
ENSG00000249811	U17LL_HUMAN
ENSG00000264472	
ENSG00000185418	
ENSG00000128815	
ENSG00000248933	U17LM_HUMAN
ENSG00000099866	
ENSG00000219607	PP13G_HUMAN
ENSG00000099994	SUSD2_HUMAN
ENSG00000250913	U17LN_HUMAN
ENSG00000068394	GPKOW_HUMAN
ENSG00000232264	U17LO_HUMAN
ENSG00000171222	SCND1_HUMAN
ENSG00000123737	EXOS9_HUMAN
ENSG00000227600	PPT2_HUMAN
ENSG00000099866	MADCA_HUMAN
ENSG00000227600	
ENSG00000211944	
ENSG00000230430	U17LO_HUMAN
ENSG00000198553	KCNRG_HUMAN
ENSG00000229579	U17LO_HUMAN
ENSG00000211945	
ENSG00000267812	
ENSG00000268098	
ENSG00000171224	CJ035_HUMAN
ENSG00000205403	
ENSG00000227140	U17L5_HUMAN
ENSG00000171224	
ENSG00000206052	DOK6_HUMAN
ENSG00000235780	U17LO_HUMAN
ENSG00000205403	CFAI_HUMAN
ENSG00000206052	
ENSG00000231051	U17LO_HUMAN
ENSG00000155827	BRE1A_HUMAN
ENSG00000155827	
ENSG00000261900	Z518A_HUMAN
ENSG00000140350	AN32A_HUMAN
ENSG00000231637	U17LO_HUMAN
ENSG00000123737	
ENSG00000140350	
ENSG00000261900	
ENSG00000228856	U17LO_HUMAN
ENSG00000214113	LYRM4_HUMAN
ENSG00000219492	
ENSG00000184305	
ENSG00000214113	
ENSG00000197363	ZN517_HUMAN
ENSG00000186146	DB131_HUMAN
ENSG00000184305	CCSE1_HUMAN
ENSG00000260842	TEKT4_HUMAN
ENSG00000197363	
ENSG00000230308	
ENSG00000263255	ZN486_HUMAN
ENSG00000070404	FSTL3_HUMAN
ENSG00000008516	MMP25_HUMAN
ENSG00000070404	
ENSG00000136943	CATL2_HUMAN
ENSG00000184459	BPIFC_HUMAN
ENSG00000184459	
ENSG00000149646	CNBD2_HUMAN
ENSG00000259816	
ENSG00000176124	LEU1_HUMAN
ENSG00000230308	TRI39_HUMAN
ENSG00000184343	
ENSG00000100065	CAR10_HUMAN
ENSG00000149646	
ENSG00000212884	
ENSG00000100065	
ENSG00000128891	
ENSG00000184343	SRPK3_HUMAN
ENSG00000128891	CO057_HUMAN
ENSG00000164924	1433Z_HUMAN
ENSG00000107816	
ENSG00000261660	
ENSG00000262578	ZN737_HUMAN
ENSG00000164924	
ENSG00000228090	
ENSG00000261660	PAR10_HUMAN
ENSG00000107816	LZTS2_HUMAN
ENSG00000074657	ZN532_HUMAN
ENSG00000189090	FM25B_HUMAN
ENSG00000262249	ZN626_HUMAN
ENSG00000242110	AMACR_HUMAN
ENSG00000074657	
ENSG00000228090	G6B_HUMAN
ENSG00000115257	
ENSG00000122912	GDC_HUMAN
ENSG00000158079	PTPC1_HUMAN
ENSG00000251692	PTX4_HUMAN
ENSG00000251692	
ENSG00000198856	OSTC_HUMAN
ENSG00000100216	TOM22_HUMAN
ENSG00000099998	GGT5_HUMAN
ENSG00000079215	EAA1_HUMAN
ENSG00000122912	
ENSG00000079215	
ENSG00000211946	
ENSG00000206445	VATG2_HUMAN
ENSG00000188647	PTAR1_HUMAN
ENSG00000169777	
ENSG00000099998	
ENSG00000188647	
ENSG00000211947	
ENSG00000169777	TA2R1_HUMAN
ENSG00000242110	
ENSG00000082068	WDR70_HUMAN
ENSG00000241779	
ENSG00000082068	
ENSG00000257383	
ENSG00000131724	I13R1_HUMAN
ENSG00000115257	PCSK4_HUMAN
ENSG00000257601	
ENSG00000141933	TPGS1_HUMAN
ENSG00000131724	
ENSG00000139192	
ENSG00000262509	BLNK_HUMAN
ENSG00000096696	DESP_HUMAN
ENSG00000261700	
ENSG00000262509	
ENSG00000241779	RPP21_HUMAN
ENSG00000259784	
ENSG00000211949	
ENSG00000187758	ADH1A_HUMAN
ENSG00000260437	
ENSG00000267179	
ENSG00000131044	TTLL9_HUMAN
ENSG00000262573	
ENSG00000109181	UDB10_HUMAN
ENSG00000109181	
ENSG00000211950	
ENSG00000241553	ARPC4_HUMAN
ENSG00000118972	FGF23_HUMAN
ENSG00000131044	
ENSG00000185917	SETD4_HUMAN
ENSG00000139192	TPSNR_HUMAN
ENSG00000227129	
ENSG00000262896	KRA94_HUMAN
ENSG00000177613	CSTFT_HUMAN
ENSG00000119522	DEN1A_HUMAN
ENSG00000124588	
ENSG00000128918	AL1A2_HUMAN
ENSG00000165476	REEP3_HUMAN
ENSG00000128918	
ENSG00000211951	
ENSG00000262594	
ENSG00000235645	
ENSG00000261059	OBP2B_HUMAN
ENSG00000150756	
ENSG00000205765	CE051_HUMAN
ENSG00000263263	KRA96_HUMAN
ENSG00000260546	
ENSG00000150756	F173B_HUMAN
ENSG00000017621	MAGIX_HUMAN
ENSG00000261412	
ENSG00000107984	DKK1_HUMAN
ENSG00000185352	H6ST3_HUMAN
ENSG00000241553	
ENSG00000206412	
ENSG00000258037	
ENSG00000124588	NQO2_HUMAN
ENSG00000198961	PJA2_HUMAN
ENSG00000150637	
ENSG00000198954	KBP_HUMAN
ENSG00000259913	
ENSG00000211952	
ENSG00000262221	KRA97_HUMAN
ENSG00000107295	SH3G2_HUMAN
ENSG00000227129	NEUR1_HUMAN
ENSG00000257149	
ENSG00000107295	
ENSG00000260843	
ENSG00000211953	
ENSG00000185917	
ENSG00000162040	
ENSG00000150637	CD226_HUMAN
ENSG00000162040	HS3S6_HUMAN
ENSG00000255284	
ENSG00000260116	
ENSG00000253598	NTCP5_HUMAN
ENSG00000262145	ATP23_HUMAN
ENSG00000262145	
ENSG00000234114	
ENSG00000145824	CXL14_HUMAN
ENSG00000125144	MT1G_HUMAN
ENSG00000262542	KR291_HUMAN
ENSG00000017621	
ENSG00000099625	
ENSG00000125144	
ENSG00000176746	MAGB6_HUMAN
ENSG00000227222	
ENSG00000136928	GABR2_HUMAN
ENSG00000206440	IKBL1_HUMAN
ENSG00000148541	FA13C_HUMAN
ENSG00000249751	
ENSG00000184524	CEND_HUMAN
ENSG00000231389	DPA1_HUMAN
ENSG00000103426	
ENSG00000099625	DOS_HUMAN
ENSG00000148541	
ENSG00000185189	NRBP2_HUMAN
ENSG00000140104	
ENSG00000214732	
ENSG00000231389	
ENSG00000249751	ECSCR_HUMAN
ENSG00000185189	
ENSG00000214645	
ENSG00000140104	CN079_HUMAN
ENSG00000168743	
ENSG00000152939	MALD2_HUMAN
ENSG00000141979	
ENSG00000148156	ACL7B_HUMAN
ENSG00000177548	RABE2_HUMAN
ENSG00000152939	
ENSG00000185133	
ENSG00000235452	
ENSG00000198178	CLC4C_HUMAN
ENSG00000262576	PCDG4_HUMAN
ENSG00000198689	SL9A6_HUMAN
ENSG00000102879	
ENSG00000214643	DB133_HUMAN
ENSG00000272162	
ENSG00000198178	
ENSG00000235452	LY66C_HUMAN
ENSG00000177548	
ENSG00000262826	INT3_HUMAN
ENSG00000112599	GUC1B_HUMAN
ENSG00000253910	PCDGE_HUMAN
ENSG00000186367	K102L_HUMAN
ENSG00000162066	
ENSG00000262826	
ENSG00000187676	B3GLT_HUMAN
ENSG00000177684	DB114_HUMAN
ENSG00000204618	RNF39_HUMAN
ENSG00000234114	CCHCR_HUMAN
ENSG00000230341	PPR18_HUMAN
ENSG00000100580	TMED8_HUMAN
ENSG00000198108	CHSS3_HUMAN
ENSG00000088298	EDEM2_HUMAN
ENSG00000145832	
ENSG00000100726	
ENSG00000198736	MSRB1_HUMAN
ENSG00000263000	ACTL9_HUMAN
ENSG00000198736	
ENSG00000106511	MEOX2_HUMAN
ENSG00000102879	COR1A_HUMAN
ENSG00000145832	S2548_HUMAN
ENSG00000109667	GTR9_HUMAN
ENSG00000263211	OR2Z1_HUMAN
ENSG00000168743	NPNT_HUMAN
ENSG00000253485	PCDG5_HUMAN
ENSG00000023697	DEOC_HUMAN
ENSG00000088367	E41L1_HUMAN
ENSG00000147789	
ENSG00000088367	
ENSG00000023697	
ENSG00000164961	STRUM_HUMAN
ENSG00000088298	
ENSG00000169567	HINT1_HUMAN
ENSG00000162066	NAGA_HUMAN
ENSG00000109667	
ENSG00000113460	BRX1_HUMAN
ENSG00000169567	
ENSG00000135220	UD2A3_HUMAN
ENSG00000113119	TMCO6_HUMAN
ENSG00000233076	
ENSG00000135220	
ENSG00000214642	DB113_HUMAN
ENSG00000164961	
ENSG00000237344	PBX2_HUMAN
ENSG00000185133	PI5PA_HUMAN
ENSG00000113119	
ENSG00000142347	MYO1F_HUMAN
ENSG00000262209	PCDGF_HUMAN
ENSG00000211693	
ENSG00000100726	TELO2_HUMAN
ENSG00000205857	NANGN_HUMAN
ENSG00000188408	
ENSG00000233076	DDAH2_HUMAN
ENSG00000211694	
ENSG00000122691	
ENSG00000142347	
ENSG00000148677	ANKR1_HUMAN
ENSG00000237344	
ENSG00000131650	KREM2_HUMAN
ENSG00000228854	
ENSG00000122691	TWST1_HUMAN
ENSG00000188408	MAGB5_HUMAN
ENSG00000215635	
ENSG00000104231	ZFAN1_HUMAN
ENSG00000253731	PCDG6_HUMAN
ENSG00000228854	NRM_HUMAN
ENSG00000078902	TOLIP_HUMAN
ENSG00000102878	
ENSG00000112893	MA2A1_HUMAN
ENSG00000147789	ZNF7_HUMAN
ENSG00000105011	ASF1B_HUMAN
ENSG00000105011	
ENSG00000165660	F175B_HUMAN
ENSG00000160226	CU002_HUMAN
ENSG00000078902	
ENSG00000100225	FBX7_HUMAN
ENSG00000167970	
ENSG00000231475	
ENSG00000128283	BORG5_HUMAN
ENSG00000100225	
ENSG00000261149	TM130_HUMAN
ENSG00000099804	UB2R1_HUMAN
ENSG00000257437	
ENSG00000160226	
ENSG00000088812	ATRN_HUMAN
ENSG00000111837	MAK_HUMAN
ENSG00000211955	
ENSG00000128283	
ENSG00000111837	
ENSG00000099804	
ENSG00000261149	
ENSG00000105072	CS044_HUMAN
ENSG00000204172	AGA10_HUMAN
ENSG00000133105	RXFP2_HUMAN
ENSG00000100221	JOS1_HUMAN
ENSG00000205358	MT1H_HUMAN
ENSG00000105072	
ENSG00000168904	
ENSG00000204172	
ENSG00000100221	
ENSG00000205358	
ENSG00000186047	LEU7_HUMAN
ENSG00000165471	MBL2_HUMAN
ENSG00000173503	
ENSG00000111713	GYS2_HUMAN
ENSG00000173769	TOPZ1_HUMAN
ENSG00000100604	CMGA_HUMAN
ENSG00000103047	TNG6_HUMAN
ENSG00000102878	HSF4_HUMAN
ENSG00000100604	
ENSG00000165621	OXGR1_HUMAN
ENSG00000149798	BORG1_HUMAN
ENSG00000100523	DDHD1_HUMAN
ENSG00000104231	
ENSG00000204922	CK083_HUMAN
ENSG00000211956	
ENSG00000103047	
ENSG00000087460	GNAS3_HUMAN
ENSG00000269071	
ENSG00000165621	
ENSG00000203970	DB110_HUMAN
ENSG00000211957	
ENSG00000106399	RFA3_HUMAN
ENSG00000263163	S27A3_HUMAN
ENSG00000111269	CRBL2_HUMAN
ENSG00000106399	
ENSG00000211958	
ENSG00000263163	
ENSG00000260732	
ENSG00000211695	
ENSG00000113742	CPEB4_HUMAN
ENSG00000132205	EMIL2_HUMAN
ENSG00000211959	
ENSG00000151876	
ENSG00000168904	LRC28_HUMAN
ENSG00000100523	
ENSG00000253537	PCDG7_HUMAN
ENSG00000113742	
ENSG00000087460	
ENSG00000172497	ACO12_HUMAN
ENSG00000267120	
ENSG00000169676	DRD5_HUMAN
ENSG00000204661	CE060_HUMAN
ENSG00000100079	LEG2_HUMAN
ENSG00000172497	
ENSG00000100079	
ENSG00000048544	RT10_HUMAN
ENSG00000211696	
ENSG00000256062	BGAT_HUMAN
ENSG00000138336	TET1_HUMAN
ENSG00000211697	
ENSG00000151876	FBX4_HUMAN
ENSG00000206280	ZBT22_HUMAN
ENSG00000260429	
ENSG00000204711	CI135_HUMAN
ENSG00000204661	
ENSG00000206280	
ENSG00000204711	
ENSG00000260216	
ENSG00000260106	
ENSG00000155011	DKK2_HUMAN
ENSG00000140688	
ENSG00000214960	ISPD_HUMAN
ENSG00000005100	DHX33_HUMAN
ENSG00000184584	STING_HUMAN
ENSG00000261463	
ENSG00000189186	DC8L2_HUMAN
ENSG00000155011	
ENSG00000183150	GPR19_HUMAN
ENSG00000140688	CP058_HUMAN
ENSG00000223865	DPB1_HUMAN
ENSG00000172348	RCAN2_HUMAN
ENSG00000183150	
ENSG00000005100	
ENSG00000253953	PCDGG_HUMAN
ENSG00000125378	BMP4_HUMAN
ENSG00000189186	
ENSG00000184584	
ENSG00000223865	
ENSG00000093010	COMT_HUMAN
ENSG00000161970	RL26_HUMAN
ENSG00000125378	
ENSG00000093010	
ENSG00000161970	
ENSG00000133884	REQU_HUMAN
